2024-12-26 14:19:58.770 [main] INFO  com.example.ssd.SpringBootDemoApplication - Starting SpringBootDemoApplication using Java 17 with PID 4148 (D:\MyProjects\daily-coding\spring-boot-demo\target\classes started by zhang in D:\MyProjects\daily-coding)
2024-12-26 14:19:58.773 [main] INFO  com.example.ssd.SpringBootDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-26 14:19:59.663 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-26 14:19:59.665 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-26 14:19:59.690 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2024-12-26 14:20:00.299 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-12-26 14:20:00.308 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-12-26 14:20:00.310 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-26 14:20:00.310 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-12-26 14:20:00.356 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-26 14:20:00.356 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1546 ms
2024-12-26 14:20:00.584 [main] INFO  org.redisson.Version - Redisson 3.31.0
2024-12-26 14:20:01.019 [redisson-netty-1-6] INFO  org.redisson.connection.ConnectionsHolder - 1 connections initialized for 111.229.106.212/111.229.106.212:6379
2024-12-26 14:20:02.536 [redisson-netty-1-19] INFO  org.redisson.connection.ConnectionsHolder - 24 connections initialized for 111.229.106.212/111.229.106.212:6379
2024-12-26 14:20:03.128 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2024-12-26 14:20:03.742 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-12-26 14:20:03.815 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-12-26 14:20:03.831 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2024-12-26 14:20:03.853 [main] INFO  com.example.ssd.SpringBootDemoApplication - Started SpringBootDemoApplication in 5.568 seconds (process running for 6.17)
2024-12-26 14:20:04.335 [RMI TCP Connection(3)-192.168.0.87] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-26 14:20:04.336 [RMI TCP Connection(3)-192.168.0.87] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-12-26 14:20:04.336 [RMI TCP Connection(2)-192.168.0.87] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-12-26 14:20:04.336 [RMI TCP Connection(3)-192.168.0.87] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-12-26 14:20:05.577 [RMI TCP Connection(2)-192.168.0.87] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@226780da
2024-12-26 14:20:05.580 [RMI TCP Connection(2)-192.168.0.87] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-12-26 14:21:02.365 [http-nio-8081-exec-1] ERROR com.example.ssd.utils.GlobalExceptionHandler - No static resource seckill.
2024-12-26 14:25:49.304 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-12-26 14:25:49.308 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-12-26 14:25:55.187 [main] INFO  com.example.ssd.SpringBootDemoApplication - Starting SpringBootDemoApplication using Java 17 with PID 22364 (D:\MyProjects\daily-coding\spring-boot-demo\target\classes started by zhang in D:\MyProjects\daily-coding)
2024-12-26 14:25:55.188 [main] INFO  com.example.ssd.SpringBootDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-26 14:25:55.807 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-26 14:25:55.809 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-26 14:25:55.828 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2024-12-26 14:25:56.264 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-12-26 14:25:56.271 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-12-26 14:25:56.273 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-26 14:25:56.273 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-12-26 14:25:56.313 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-26 14:25:56.314 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1087 ms
2024-12-26 14:25:56.506 [main] INFO  org.redisson.Version - Redisson 3.31.0
